증권사,티커(코드),종목명,잔고수량,현재가,평균매입가,평가손익,수익률,평가 금액,매입 금액,수수료,세금,자산 분류,마켓,통화
미래에셋연금저축,213630,PLUS 미국다우존스고배당주(합성 H),10,"18,535원","18,021원","4,669원",2.59%,"185,350원","180,210원",7원,463원,etf,korea,won
미래에셋연금저축,292560,TIGER 일본엔선물,100,"8,940원","8,760원","15,729원",1.80%,"894,000원","876,000원",36원,"2,235원",etf,korea,won
미래에셋연금저축,305080,TIGER 미국채10년선물,50,"13,405원","11,906원","73,248원",12.30%,"670,250원","595,300원",27원,"1,676원",etf,korea,won
미래에셋연금저축,360200,ACE 미국S&P500,46,"25,070원","23,638원","62,943원",5.79%,"1,153,220원","1,087,348원",46원,"2,883원",etf,korea,won
미래에셋연금저축,367380,ACE 미국나스닥100,28,"28,315원","26,513원","48,442원",6.53%,"792,820원","742,364원",32원,"1,982원",etf,korea,won
미래에셋연금저축,402970,ACE 미국배당다우존스,50,"13,005원","12,004원","48,398원",8.06%,"650,250원","600,200원",26원,"1,626원",etf,korea,won
미래에셋연금저축,,Plus 신종 개인용 MMF2호 종류 C-p1e(연금저축),,,,"289,470원",5.79%,"5,289,470원","5,000,000원",,,bond,korea,won
미래에셋연금저축(예),,현금성자산,,,,,,"7,437,916원",,,,cash,korea,won
미래에셋대우,,예수금,,,,,,"2,600,804원",,,,cash,korea,won
미래에셋DC,0064K0,KODEX 금액티브,170,"13,050원","12,350원","113,365원",5.40%,"2,218,500원","2,099,500원",89원,"5,546원",etf,korea,won
미래에셋DC,088980,맥쿼리인프라,400,"11,620원","12,008원","-167,006원",-3.48%,"4,648,000원","4,803,200원",186원,"11,620원",etf,korea,won
미래에셋DC,160580,TIGER 구리실물,520,"13,995원","12,023원","1,025,440원",16.40%,"7,277,400원","6,251,960원",,,commodity,korea,won
미래에셋DC,379800,KODEX 미국S&P500,30,"22,730원","18,236원","133,088원",24.33%,"681,900원","547,080원",27원,"1,705원",etf,korea,won
미래에셋DC,411060,ACE KRX금현물,250,"28,090원","21,076원","1,735,663원",32.94%,"7,022,500원","5,269,000원",281원,"17,556원",gold,korea,won
미래에셋DC,429000,TIGER 미국S&P500배당귀족,50,"12,955원","10,499원","121,155원",23.08%,"647,750원","524,950원",26원,"1,619원",etf,korea,won
미래에셋DC(예),,미래에셋ETF로자산배분TDF2040증권자투자신탁1호(주식혼합-재간접형)종류C-P2e,,,,"573,287원",11.74%,"5,458,177원","4,884,890원",,,fund,korea,won
미래에셋DC(예),,미래에셋전략배분TDF2040혼합자산자투자신탁 종류CP2e,,,,"4,867,380원",32.56%,"19,816,398원","14,949,018원",,,fund,korea,won
미래에셋DC(예),,미래에셋증권 디폴트옵션 중립투자형 포트폴리오 1,,,,"1,276,785원",16.86%,"8,849,114원","7,572,329원",,,fund,korea,won
미래에셋DC(예),,미래에셋국공채전용MMFA1호(국공채)C-P2e (퇴직),,,,"53,562원",0.54%,"10,053,562원","10,000,000원",,,bond,korea,won
미래에셋DC(예),,현금,,,,,,"4,818,186원",,,,cash,korea,won
미래에셋IRP,0080G0,KODEX K방산TOP10,80,"8,920원","9,873원","-76,240원",-9.65%,"713,600원","789,840원",,,etf,korea,won
