asset_id,account_name,trade_type,transaction_date,quantity,price,commission,memo
13,미래에셋IRP,BUY,2023-04-28T00:00:00+09:00,30,10270,0,1주 간 10% 가량 기간 조정 구간. 경기 침체에도 불구하고 장기적으로 우상향 기조 유지. 전기차 활성화로 인한 구리 사용량 증가 기대
47,신한금융투자,SELL,2023-06-01T00:00:00+09:00,5,515733,9536,단기 급상승에 따른 이익 실현
13,미래에셋IRP,BUY,2023-06-28T00:00:00+09:00,20,9790,0,
13,미래에셋IRP,BUY,2023-07-04T00:00:00+09:00,20,9790,0,"매장량이 한정되어 있고, 전기차 시대에 수요가 급증할 광물"
29,미래에셋IRP,SELL,2023-07-07T00:00:00+09:00,95,31995,0,이차전지 단기 급상승에 따른 이익 실현
13,미래에셋IRP,BUY,2023-08-07T00:00:00+09:00,50,9975,0,
4,미래에셋연금저축,BUY,2023-08-07T00:00:00+09:00,9,11350,0,
36,미래에셋DC,BUY,2023-09-05T00:00:00+09:00,12,12150,0,
13,미래에셋IRP,BUY,2023-09-05T00:00:00+09:00,20,9995,0,
36,미래에셋DC,BUY,2023-09-15T00:00:00+09:00,10,12290,0,
13,미래에셋IRP,BUY,2023-09-20T00:00:00+09:00,140,9825,0,
5,미래에셋연금저축,BUY,2023-09-22T00:00:00+09:00,30,14665,0,FOMC 회의 이후 단기 급락으로 인한 저점 매수
6,미래에셋연금저축,BUY,2023-09-22T00:00:00+09:00,29,15110,0,FOMC 회의 이후 단기 급락으로 인한 저점 매수
36,미래에셋DC,BUY,2024-01-01T00:00:00+09:00,95,0,0,"1)고금리, 경기침체 대응 위한 고배당주
2)배당락 등의 이슈로 지나친 하락(체결 일자 모름)"
29,미래에셋IRP,BUY,2024-07-11T00:00:00+09:00,9,21935,0,저점 매수
15,미래에셋DC,BUY,2024-07-11T00:00:00+09:00,20,15045,0,미국 대선 및 글로벌 지정학 리스크 증가로 인한 안전자산 선호 예상
16,미래에셋DC,SELL,2024-07-11T00:00:00+09:00,38,11345,0,"S&P500 지수 급등(5,633.91)으로 인한 이익실현
: S&P500 지수 5300을 과열 기점으로 예상했었음 "
5,미래에셋연금저축,SELL,2024-07-11T00:00:00+09:00,106,19625,167,"S&P500 지수 급등(5,633.91)으로 인한 이익실현
: S&P500 지수 5300을 과열 기점으로 예상했었음 "
6,미래에셋연금저축,SELL,2024-07-11T00:00:00+09:00,99,21855,166,"S&P500 지수 급등(5,633.91)으로 인한 이익실현
: S&P500 지수 5300을 과열 기점으로 예상했었음 "
47,신한금융투자,SELL,2024-07-11T00:00:00+09:00,2,0,0,"엔비디아 과열 구간으로 판단
(잘못된 판단)"
36,미래에셋DC,BUY,2024-10-25T00:00:00+09:00,27,11430,0,유상청약 배정
15,미래에셋DC,SELL,2024-10-30T00:00:00+09:00,70,18535,0,트럼프 트레이딩으로 인한 단기 고점 판단으로 보유 물량 절반 매도
45,신한금융투자,SELL,2024-11-05T00:00:00+09:00,24,0,0,금광 채굴 분야에서 뉴몬트의 장기 성장 동력이 훼손으로 절반 매도(금 채굴량의 지속적인 감소 계속됨)(잘못된 판단)
24,미래에셋IRP,SELL,2025-04-04T00:00:00+09:00,43,29725,0,"반도체 업황 부진을 예상하여 매도
(잘못된 판단)"
15,미래에셋DC,BUY,2025-06-30T00:00:00+09:00,20,20160,0,포트폴리오의 금 비중 확대
5,미래에셋연금저축,SELL,2025-07-09T00:00:00+09:00,141,21475,110,
52,신한금융투자,BUY,2025-08-25T00:00:00+09:00,6,150360,0,포트폴리오의 금 비중 확대
32,미래에셋IRP,BUY,2025-09-10T00:00:00+09:00,5,8100,0,코스피 급등 구간에서 소외되어 있는 섹터라고 판단
33,미래에셋IRP,BUY,2025-09-12T00:00:00+09:00,10,21485,0,AI 데이터 센터 및 선진국 노후 인프라 교체 수요 기대
32,미래에셋IRP,BUY,2025-09-12T00:00:00+09:00,10,8135,0,코스피 급등 구간에서 소외되어 있는 섹터라고 판단
24,미래에셋IRP,BUY,2025-09-17T00:00:00+09:00,5,43470,0,"AI 데이터 센터 붐에 따른 반도체 호황 기대(생각보다 훨씬 빨리, 크게 호황이 와서 예상을 크게 웃돔)"
31,미래에셋IRP,BUY,2025-09-29T00:00:00+09:00,10,17560,0,"정책 수혜로 인한 코스피 지수 상승 기대(생각보다 훨씬 빨리, 크게 호황이 와서 예상을 크게 웃돔)"
29,미래에셋IRP,BUY,2025-10-15T00:00:00+09:00,20,15665,0,전기차 이외에 ESS에서 의미 있는 매출 발생을 확인함(판매 채널 다각화)
22,미래에셋IRP,BUY,2025-10-15T00:00:00+09:00,30,10260,0,K방산의 구조적 장기 호황 기대
11,미래에셋DC,BUY,2025-10-31T00:00:00+09:00,50,12020,0,금 비중 확대에 있어 김치 프리미엄 회피를 위해 국제 금 시세 추종 ETF 매수
27,미래에셋IRP,BUY,2025-11-12T00:00:00+09:00,30,21215,0,배당소득 분리과세 시행 시 배당수익률 상승 및 이로 인한 주가 상승이 기대되는 금융주 다수 보유 ETF
22,미래에셋IRP,BUY,2025-11-26T00:00:00+09:00,5,9305,0,"K방산은 중장기 성장 산업으로 판단, 정기 매수 계획"
33,미래에셋IRP,BUY,2025-11-26T00:00:00+09:00,5,27612,0,"전력인프라(특히, AI데이터센터 연계)는 중장기 성장 산업으로 판단, 정기 매수 계획"
33,미래에셋IRP,SELL,2025-11-25T00:00:00+09:00,50,12305,0,"중복되는 테마(AI데이터센터 전력인프라) ETF 정리
→ 'HANARO 전력설비투자 ETF'로 집중"
