날짜,총 매입 금액,총 평가 금액,수익률
2025. 12. 8,"62,863,920원","79,721,994원",26.82%
2025-12-07,"62,932,459원","79,729,454원",26.69%
2025-12-06,"62,932,293원","79,729,210원",26.69%
2025-12-05,"62,858,444원","79,601,843원",26.64%
2025-12-04,"62,911,466원","79,365,690원",26.15%
2025-12-03,"62,841,338원","78,978,213원",25.68%
2025-12-02,"62,837,865원","78,768,269원",25.35%
2025-12-01,"62,855,125원","78,774,238원",25.33%
2025-11-30,"58,050,107원","73,509,392원",26.63%
2025-11-29,"58,050,251원","73,509,610원",26.63%
2025-11-28,"58,093,646원","73,409,385원",26.36%
2025-11-27,"58,006,136원","73,233,958원",26.25%
2025-11-26,"58,072,093원","72,962,071원",25.64%
2025-11-25,"58,114,695원","72,568,070원",24.87%
2025-11-24,"58,179,138원","71,385,554원",22.70%
2025-11-23,"58,080,527원","71,177,767원",22.55%
2025-11-22,"58,080,527원","71,177,767원",22.55%
2025-11-21,"58,158,522원","70,938,564원",21.97%
2025-11-20,"58,076,202원","71,836,215원",23.69%
2025-11-19,"58,017,813원","71,253,441원",22.81%
2025-11-18,"58,035,762원","71,482,347원",23.17%
2025-11-17,"57,912,570원","71,905,019원",24.16%
2025-11-16,"54,797,403원","69,101,754원",26.10%
2025-11-15,"54,811,388원","69,122,143원",26.11%
2025-11-14,"54,962,621원","69,409,100원",26.28%
2025-11-13,"55,095,401원","71,021,955원",28.91%
2025-11-12,"55,047,537원","70,617,836원",28.29%
2025-11-11,"55,037,373원","70,302,319원",27.74%
2025-11-10,"54,857,594원","68,892,880원",25.58%
2025-11-09,"54,904,954원","68,785,202원",25.28%
2025-11-08,"54,904,954원","68,785,202원",25.28%
2025-11-07,"54,934,652원","69,105,797원",25.80%
2025-11-06,"54,795,385원","69,060,444원",26.03%
2025-11-05,"54,789,330원","68,555,677원",25.13%
2025-11-04,"54,636,583원","69,191,215원",26.64%
2025-11-03,"54,515,121원","68,815,738원",26.23%
2025-11-02,"54,517,427원","68,644,055원",25.91%
2025-11-01,"54,517,427원","68,644,055원",25.91%
2025-10-31,"54,475,186원","68,589,070원",25.91%
2025-10-30,"54,516,995원","68,640,380원",25.91%
2025-10-29,"54,555,344원","68,696,975원",25.92%
2025-10-28,"54,642,134원","68,454,403원",25.28%
2025-10-27,"54,239,377원","67,654,892원",24.73%
2025-10-26,"54,323,932원","68,039,461원",25.25%
2025-10-25,"54,323,932원","68,039,461원",25.25%
2025-10-24,"54,291,710원","67,960,372원",25.18%
2025-10-23,"54,342,674원","67,568,384원",24.34%
2025-10-22,"54,210,255원","67,401,978원",24.33%
2025-10-21,"54,150,353원","68,116,957원",25.79%
2025-10-20,"51,643,151원","65,546,612원",26.92%
2025-10-19,"51,658,416원","65,831,258원",27.44%
2025-10-18,"51,658,416원","65,831,258원",27.44%
2025-10-17,"51,650,138원","65,676,479원",27.16%
2025-10-16,"51,609,498원","65,688,309원",27.28%
2025-10-15,"51,645,050원","65,579,923원",26.98%
2025-10-14,"51,810,382원","65,361,698원",26.16%
2025-10-13,"51,747,272원","64,396,601원",24.44%
2025-10-12,"51,776,890원","64,117,404원",23.83%
2025-10-11,"51,776,890원","64,117,404원",23.83%
2025-10-10,"51,644,063원","64,681,828원",25.25%
2025-10-09,"51,654,011원","64,190,651원",24.27%
2025-10-08,"51,700,720원","64,181,877원",24.14%
2025-10-07,"51,523,234원","64,258,824원",24.72%
2025-10-06,"51,426,936원","63,804,571원",24.07%
2025-10-05,"51,426,936원","63,804,571원",24.07%
2025-10-04,"51,426,936원","63,804,571원",24.07%
2025-10-03,"51,426,936원","63,816,941원",24.09%
2025-10-02,"51,339,827원","63,841,152원",24.35%
2025-10-01,"51,362,383원","63,662,248원",23.95%
2025-09-30,"51,380,141원","63,730,082원",24.04%
2025-09-29,"51,319,233원","62,800,899원",22.37%
2025-09-28,"51,467,946원","62,834,525원",22.08%
2025-09-27,"51,467,946원","62,834,525원",22.08%
2025-09-26,"51,518,364원","62,689,042원",21.68%
2025-09-25,"51,349,775원","62,476,635원",21.67%
2025-09-24,"50,967,961원","61,930,011원",21.51%
2025-09-23,"50,931,963원","62,026,897원",21.78%
2025-09-22,"50,888,523원","61,527,059원",20.91%
2025-09-21,"50,956,493원","61,514,224원",20.72%
2025-09-20,"50,956,493원","61,514,224원",20.72%
2025-09-19,"50,953,304원","61,066,785원",19.85%
2025-09-18,"50,805,135원","60,942,181원",19.95%
2025-09-17,"50,717,192원","60,835,528원",19.95%
2025-09-16,"50,687,496원","60,726,566원",19.81%
2025-09-15,"50,822,603원","60,460,744원",18.96%
2025-09-14,"50,893,533원","60,580,979원",19.03%
2025-09-13,"50,893,533원","60,580,979원",19.03%
2025-09-12,"50,804,907원","60,193,197원",18.48%
2025-09-11,"48,364,720원","57,756,605원",19.42%
2025-09-10,"47,268,664원","57,155,874원",20.92%
2025-09-09,"47,273,449원","56,959,759원",20.49%
2025-09-08,"47,292,815원","56,977,320원",20.48%
2025-09-07,"47,270,867원","56,914,153원",20.40%
2025-09-06,"47,270,867원","56,910,653원",20.39%
2025-09-05,"47,322,725원","57,078,207원",20.61%
2025-09-04,"47,285,372원","56,844,910원",20.22%
2025-09-03,"47,396,394원","56,495,154원",19.20%
2025-09-02,"47,347,039원","56,401,268원",19.12%
2025-09-01,"47,356,760원","56,401,098원",19.10%
2025-08-31,"47,310,813원","56,313,708원",19.03%
2025-08-30,"47,310,813원","56,314,409원",19.03%
2025-08-29,"47,256,969원","56,301,934원",19.14%
2025-08-28,"47,361,165원","56,331,112원",18.94%
2025-08-27,"47,379,382원","56,242,130원",18.71%
2025-08-26,"47,320,003원","55,999,711원",18.34%
2025-08-25,"58,691,295원","72,122,791원",22.88%
2025-08-24,"58,691,295원","72,122,791원",22.88%
2025-08-23,"58,691,295원","72,122,791원",22.88%
